Season,Name,W,L,SV,G,GS,IP,K9,BB9,HR9,BABIP,LOB,GB,HRFB,ERA,FIP,xFIP,WAR,playerid
2014,Jake Odorizzi,11,13,0,31,31,168,9.32,3.16,1.07,0.295,0.734,0.299,0.0870 ,4.13,3.75,3.9,2,6397
2010,James Shields,12,15,0,33,33,202.1,8.32,2.22,1.51,0.342,0.683,0.41,0.1380 ,5.2,4.23,3.54,2,7059
2008,Scott Kazmir,12,8,0,27,27,152.1,9.81,4.14,1.36,0.265,0.825,0.308,0.1200 ,3.49,4.37,4.07,2,4897
2010,Matt Garza,15,10,0,32,32,204,6.62,2.74,1.24,0.272,0.753,0.358,0.1000 ,3.93,4.41,4.29,1.9,3340
2000,Steve Trachsel,6,10,0,23,23,137.2,5.1,3.2,1.05,0.315,0.722,,,4.58,4.71,,1.9,898
2007,Andy Sonnanstine,6,10,0,22,22,130.2,6.68,1.79,1.24,0.326,0.606,0.389,0.1010 ,5.85,4.26,4.19,1.9,7667
2013,Matt Moore,17,4,0,27,27,150.1,8.56,4.55,0.84,0.259,0.786,0.394,0.0800 ,3.29,3.95,4.32,1.8,1890
1999,Wilson Alvarez,9,9,0,28,28,160,7.2,4.44,1.24,0.293,0.713,,,4.22,4.92,,1.8,1193
1999,Ryan Rupe,8,9,0,24,24,142.1,6.13,3.6,1.07,0.276,0.684,,,4.55,4.78,,1.8,1223
2000,Albie Lopez,9,9,0,24,24,157.2,4.68,3.08,1.26,0.281,0.757,,,3.88,4.95,,1.8,102
1999,Bobby Witt,7,15,0,32,32,180.1,6.14,4.79,1.15,0.333,0.651,,,5.84,5.07,,1.8,1014170
2011,Jeremy Hellickson,13,10,0,29,29,189,5.57,3.43,1,0.223,0.82,0.35,0.0810 ,2.95,4.44,4.72,1.7,4371
2006,James Shields,6,8,0,21,21,124.2,7.51,2.74,1.3,0.328,0.724,0.427,0.1370 ,4.84,4.39,3.99,1.7,7059
2003,Geremi Gonzalez,6,11,0,25,25,156.1,5.58,3.97,1.04,0.239,0.755,0.331,0.0810 ,3.91,4.84,5.41,1.7,1711
2005,Mark Hendrickson,11,8,0,31,31,178.1,4.49,2.47,1.21,0.321,0.622,0.453,0.1190 ,5.9,4.63,4.44,1.6,1574
2011,Jeff Niemann,11,7,0,23,23,135.1,6.98,2.46,1.2,0.278,0.731,0.46,0.1260 ,4.06,4.13,3.73,1.6,8591
2015,Nate Karns,7,5,0,26,26,144,8.81,3.44,1.12,0.283,0.78,0.423,0.1240 ,3.69,4.05,3.91,1.5,12638
2008,Edwin Jackson,13,11,0,31,31,181.1,5.31,3.77,1.09,0.301,0.76,0.392,0.0930 ,4.37,4.82,4.96,1.5,1841
2000,Paul Wilson,1,2,0,7,7,41,7.24,2.2,0.22,0.259,0.657,,,3.29,2.79,,1.5,1234
2013,Jeremy Hellickson,11,10,0,31,31,171.2,6.97,2.62,1.26,0.309,0.661,0.397,0.1110 ,5.24,4.26,4.17,1.4,4371
2002,Tanyon Sturtze,4,18,0,33,33,224,5.5,3.58,1.33,0.322,0.706,0.364,0.1110 ,5.18,4.97,4.89,1.4,1230
2001,Joe Kennedy,7,8,0,20,20,117.2,5.97,2.6,1.22,0.289,0.703,,,4.44,4.43,,1.4,1217
2001,Tanyon Sturtze,11,10,0,27,27,177,4.93,3.66,1.07,0.289,0.752,,,4.32,4.83,,1.4,1230
2001,Paul Wilson,8,9,0,24,24,131.2,6.9,3.21,1.23,0.308,0.658,,,5.13,4.61,,1.3,1234
1998,Wilson Alvarez,6,14,0,25,25,142.2,6.75,4.29,1.14,0.265,0.71,,,4.73,4.9,,1.3,1193
2009,David Price,10,7,0,23,23,128.1,7.15,3.79,1.19,0.268,0.685,0.415,0.1110 ,4.42,4.59,4.43,1.3,3184
2013,Chris Archer,9,7,0,23,23,128.2,7.06,2.66,1.05,0.253,0.788,0.468,0.1170 ,3.22,4.07,3.91,1.3,6345
2004,Rob Bell,6,8,0,19,19,107.1,4.19,3.19,0.92,0.26,0.654,0.455,0.0850 ,4.53,4.62,5.01,1.2,1492
2002,Paul Wilson,6,12,0,30,30,193.2,5.16,3.11,1.35,0.301,0.72,0.413,0.1280 ,4.83,5,4.67,1.2,1234
2007,Edwin Jackson,5,15,0,31,31,160.2,7.17,4.87,1.06,0.342,0.655,0.45,0.1020 ,5.77,4.88,4.81,1.2,1841
1999,Dave Eiland,4,7,0,15,15,68,6.09,2.91,1.06,0.31,0.628,,,4.9,4.33,,1.2,1003714
2004,Dewon Brazelton,6,8,0,21,21,116,4.81,3.88,0.93,0.281,0.674,0.368,0.0690 ,4.97,4.9,5.7,1.2,1195
2014,Drew Smyly,3,1,0,7,7,47.2,8.31,2.08,0.76,0.184,0.888,0.333,0.0730 ,1.7,3.07,3.4,1.2,11760
2012,Jeremy Hellickson,10,11,0,31,31,177,6.31,3,1.27,0.261,0.827,0.418,0.1240 ,3.1,4.6,4.44,1.2,4371
2005,Casey Fossum,6,11,0,25,25,142,6.65,3.3,1.2,0.295,0.662,0.388,0.1100 ,5.07,4.74,4.68,1.2,188
2002,Ryan Rupe,5,10,0,15,15,90,6.7,2.5,1.1,0.268,0.565,0.516,0.1340 ,5.6,4.23,3.9,1.1,1223
2010,Jeff Niemann,11,8,0,29,29,173.1,6.65,3.17,1.3,0.263,0.734,0.444,0.1220 ,4.41,4.65,4.22,1.1,8591
2009,Wade Davis,2,2,0,6,6,36.1,8.92,3.22,0.5,0.313,0.625,0.39,0.0560 ,3.72,2.9,3.49,1.1,7441
2011,Wade Davis,11,10,0,29,29,184,5.14,3.08,1.13,0.28,0.721,0.363,0.0880 ,4.45,4.67,4.82,1.1,7441
2006,Mark Hendrickson,4,8,0,13,13,89.2,5.12,3.41,1,0.254,0.728,0.488,0.0860 ,3.81,4.66,5.03,1.1,1574
2001,Bryan Rekar,3,13,0,25,25,140.2,5.57,2.88,1.34,0.31,0.605,,,5.89,4.84,,1.1,625
1999,Rolando Arrojo,7,12,0,24,24,140.2,6.85,3.84,1.47,0.326,0.746,,,5.18,5.32,,1.1,174
2009,Scott Kazmir,8,7,0,20,20,111,7.38,4.05,1.22,0.309,0.639,0.361,0.0940 ,5.92,4.7,4.84,1,4897
2003,Victor Zambrano,11,10,0,28,28,178.2,6.45,5.14,1.01,0.258,0.749,0.455,0.1110 ,4.23,5.07,5.08,1,1237
2010,Wade Davis,12,10,0,29,29,168,6.05,3.32,1.29,0.272,0.781,0.392,0.1040 ,4.07,4.79,4.61,1,7441
2015,Drew Smyly,5,2,0,12,12,66.2,10.39,2.7,1.48,0.283,0.865,0.368,0.1430 ,3.1,3.91,3.47,0.9,11760
2000,Tanyon Sturtze,3,0,0,5,5,27.2,7.48,1.95,0.65,0.301,0.828,,,2.28,3.06,,0.9,1230
2012,Jeff Niemann,2,3,0,8,8,38,8.05,2.84,0.47,0.264,0.655,0.514,0.0630 ,3.08,3.09,3.65,0.9,8591
2011,Alex Cobb,3,2,0,9,9,52.2,6.32,3.59,0.51,0.284,0.749,0.54,0.0700 ,3.42,3.61,3.9,0.8,6562
2001,Albie Lopez,5,12,0,20,20,124.2,4.84,3.68,1.16,0.317,0.65,,,5.34,4.97,,0.8,102
2010,Jeremy Hellickson,3,0,0,4,4,26.1,8.54,1.37,0.68,0.209,0.824,0.412,0.0630 ,2.05,2.74,3.23,0.8,4371
2006,J.P. Howell,1,3,0,8,8,42.1,7.02,2.98,0.85,0.361,0.694,0.453,0.1000 ,5.1,4.02,4.12,0.7,8245
2003,Joe Kennedy,3,11,0,22,22,118.2,5.01,3.19,1.29,0.327,0.6,0.425,0.1070 ,6.6,5.07,5.16,0.7,1217
2012,Chris Archer,1,2,0,4,4,23.2,11.79,3.04,0.76,0.294,0.603,0.434,0.1050 ,3.8,2.71,2.79,0.7,6345
